country,Confirmed,Deaths,Recovered,Active,new_cases,new_deaths,new_recovered,confirmed_last_week,one_week_change,one_week_percent_increase,who_region,mortality_rate,recovery_rate,weekly_growth_rate,active_ratio
Burundi,378,1,301,76,17,0,22,322,56,17.39,Africa,0.26,79.63,17.39,0.2
Cabo Verde,2328,22,1550,756,21,0,103,2071,257,12.41,Africa,0.95,66.58,12.41,0.32
Cambodia,226,0,147,79,1,0,4,171,55,32.16,Western Pacific,0.0,65.04,32.16,0.35
Cameroon,17110,391,14539,2180,402,6,0,16157,953,5.9,Africa,2.29,84.97,5.9,0.13
Canada,116458,8944,0,107514,682,11,0,112925,3533,3.13,Americas,7.68,0.0,3.13,0.92
Central African Republic,4599,59,1546,2994,0,0,0,4548,51,1.12,Africa,1.28,33.62,1.12,0.65
Chad,922,75,810,37,7,0,0,889,33,3.71,Africa,8.13,87.85,3.71,0.04
Chile,347923,9187,319954,18782,2133,75,1859,333029,14894,4.47,Americas,2.64,91.96,4.47,0.05
China,86783,4656,78869,3258,213,4,7,85622,1161,1.36,Western Pacific,5.37,90.88,1.36,0.04
Colombia,257101,8777,131161,117163,16306,508,11494,204005,53096,26.03,Americas,3.41,51.02,26.03,0.46
Comoros,354,7,328,19,0,0,0,334,20,5.99,Africa,1.98,92.66,5.99,0.05
Congo (Brazzaville),3200,54,829,2317,162,3,73,2851,349,12.24,Africa,1.69,25.91,12.24,0.72
Congo (Kinshasa),8844,208,5700,2936,13,4,190,8443,401,4.75,Africa,2.35,64.45,4.75,0.33
Costa Rica,15841,115,3824,11902,612,11,88,11534,4307,37.34,Americas,0.73,24.14,37.34,0.75
Cote d'Ivoire,15655,96,10361,5198,59,0,183,14312,1343,9.38,Africa,0.61,66.18,9.38,0.33
Croatia,4881,139,3936,806,24,3,70,4370,511,11.69,Europe,2.85,80.64,11.69,0.17
Cuba,2532,87,2351,94,37,0,2,2446,86,3.52,Americas,3.44,92.85,3.52,0.04
Cyprus,1060,19,852,189,3,0,0,1038,22,2.12,Europe,1.79,80.38,2.12,0.18
Czechia,15516,373,11428,3715,192,2,0,14098,1418,10.06,Europe,2.4,73.65,10.06,0.24
Denmark,13761,613,12605,543,109,0,77,13453,308,2.29,Europe,4.45,91.6,2.29,0.04
Djibouti,5059,58,4977,24,9,0,11,5020,39,0.78,Eastern Mediterranean,1.15,98.38,0.78,0.0
Dominica,18,0,18,0,0,0,0,18,0,0.0,Americas,0.0,100.0,0.0,0.0
Dominican Republic,64156,1083,30204,32869,1248,20,1601,53956,10200,18.9,Americas,1.69,47.08,18.9,0.51
Ecuador,81161,5532,34896,40733,467,17,0,74620,6541,8.77,Americas,6.82,43.0,8.77,0.5
Egypt,92482,4652,34838,52992,420,46,1007,88402,4080,4.62,Eastern Mediterranean,5.03,37.67,4.62,0.57
El Salvador,15035,408,7778,6849,405,8,130,12207,2828,23.17,Americas,2.71,51.73,23.17,0.46
Equatorial Guinea,3071,51,842,2178,0,0,0,3071,0,0.0,Africa,1.66,27.42,0.0,0.71
Eritrea,265,0,191,74,2,0,2,251,14,5.58,Africa,0.0,72.08,5.58,0.28
Estonia,2034,69,1923,42,0,0,1,2021,13,0.64,Europe,3.39,94.54,0.64,0.02
Eswatini,2316,34,1025,1257,109,2,39,1826,490,26.83,Africa,1.47,44.26,26.83,0.54
Ethiopia,14547,228,6386,7933,579,5,170,10207,4340,42.52,Africa,1.57,43.9,42.52,0.55
